label,text,token
1,sweet united nations video  just in time for christmas   imagine  noreligion  ,"['sweet', 'united', 'nation', 'video', 'time', 'christmas', 'imagine', 'noreligion']"
1, we are rumored to have talked to erv's agent    and the angels asked about ed escobar    that's hardly nothing     ),"['rumored', 'talked', 'erv', 'agent', 'angel', 'asked', 'ed', 'escobar', 'hardly', 'nothing']"
1,hey there! nice to see you minnesota nd winter weather ,"['hey', 'nice', 'see', 'minnesota', 'nd', 'winter', 'weather']"
0,3 episodes left i'm dying over here,"['3', 'episode', 'left', 'dying']"
1,i can't breathe! was chosen as the most notable quote of the year in an annual list released by a yale university librarian ,"['breathe', 'chosen', 'notable', 'quote', 'year', 'annual', 'list', 'released', 'yale', 'university', 'librarian']"
0,you're never too old for footie pajamas  ,"['never', 'old', 'footie', 'pajama']"
1,nothing makes me happier then getting on the highway and seeing break lights light up like a christmas tree   ,"['nothing', 'make', 'happier', 'getting', 'highway', 'seeing', 'break', 'light', 'light', 'like', 'christmas', 'tree']"
0,4 30 an opening my first beer now gonna be a long night day,"['4', '30', 'opening', 'first', 'beer', 'gonna', 'long', 'night', 'day']"
0, do you think you would support a guy who knocked out your daughter? rice doesn't deserve support ,"['think', 'would', 'support', 'guy', 'knocked', 'daughter', 'rice', 'deserve', 'support']"
0, you are not allowed to open that until christmas day!,"['allowed', 'open', 'christmas', 'day']"
1,"oh, thank god   our entire office email system is down    the day of a big event  santa, you know just what to get me for xmas  ","['oh', 'thank', 'god', 'entire', 'office', 'email', 'system', 'day', 'big', 'event', 'santa', 'know', 'get', 'xmas']"
0,"but instead, i'm scrolling through facebook, instagram, and twitter for hours on end, accomplishing nothing  ","['instead', 'scrolling', 'facebook', 'instagram', 'twitter', 'hour', 'end', 'accomplishing', 'nothing']"
0,  pouting_face  no he bloody isn't i was upstairs getting changed !,"['pouting_face', 'bloody', 'upstairs', 'getting', 'changed']"
0,cold or warmth both suffuse one's cheeks with pink (colour tone)     do you understand the underlying difference   its texture?,"['cold', 'warmth', 'suffuse', 'one', 'cheek', 'pink', 'colour', 'tone', 'understand', 'underlying', 'difference', 'texture']"
1,just great when you're mobile bill arrives by text ,"['great', 'mobile', 'bill', 'arrives', 'text']"
1,crushes are great until you realize they'll never be interested in you    p,"['crush', 'great', 'realize', 'never', 'interested', 'p']"
1,buffalo sports media is smarter than all of us  where else can you get the quality insight offered by harrington and busgaglia  ,"['buffalo', 'sport', 'medium', 'smarter', 'u', 'else', 'get', 'quality', 'insight', 'offered', 'harrington', 'busgaglia']"
0,i guess my cat also lost 3 pounds when she went to the vet after i've been feeding her a few times a day    eating  food    workingout,"['guess', 'cat', 'also', 'lost', '3', 'pound', 'went', 'vet', 'feeding', 'time', 'day', 'eating', 'food', 'workingout']"
1,  trading a sp for a defense only ss? brilliant trade  ,"['trading', 'sp', 'defense', 's', 'brilliant', 'trade']"
1,"but  was trying to find us, and my battery died  guess how he found us? yes, that bastard wand! !!!!!","['trying', 'find', 'u', 'battery', 'died', 'guess', 'found', 'u', 'yes', 'bastard', 'wand']"
1, please do  i need the second hand embarrassment so desperatly on my phone ,"['please', 'need', 'second', 'hand', 'embarrassment', 'desperatly', 'phone']"
0,"i never cared for beyonce, bc i could never get a sense of who she was  her interviews lacked depth   tho    this girl got it ","['never', 'cared', 'beyonce', 'bc', 'could', 'never', 'get', 'sense', 'interview', 'lacked', 'depth', 'tho', 'girl', 'got']"
1, time to hit the books then ,"['time', 'hit', 'book']"
0, thx4flw! flwthemusic   we r  elektrikbloom  elektrikfantasy  iwant2drift  elev8theunderground!,"['thx4flw', 'flwthemusic', 'r', 'elektrikbloom', 'elektrikfantasy', 'iwant2drift', 'elev8theunderground']"
1,love these cold winter mornings  grimacing_face  best feeling everrrrrrr !,"['love', 'cold', 'winter', 'morning', 'grimacing_face', 'best', 'feeling', 'everrrrrrr']"
0,amazingly  is not owned by  bhp  they are going to have to shell out some decent money for it   bhpbilliton  south32,"['amazingly', 'owned', 'bhp', 'going', 'shell', 'decent', 'money', 'bhpbilliton', 'south32']"
